weight_kg,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,zone11,zone12,zone13
0.50,8651,10161,10320,11566,11195,11274,11359,14195,17227,20254,11359,9674,10161
1.00,9833,11529,12138,13305,12886,13008,13172,15849,19485,22893,13172,10983,11529
1.50,11015,12896,13956,15043,14577,14741,14985,17503,21743,25533,14985,12292,12896
2.00,12197,14264,15775,16782,16268,16474,16798,19156,24001,28173,16798,13601,14264
2.50,13379,15631,17280,18520,17778,18022,18425,22141,26842,31496,18425,14911,15631
3.00,14561,16999,18785,20259,19289,19570,20052,25125,29683,34820,20052,16220,16999
3.50,15743,18367,20291,21998,20800,21118,21679,28109,32525,38143,21679,17529,18367
4.00,16925,19734,21796,23736,22310,22665,23307,31093,35366,41467,23307,18838,19734
4.50,18107,21102,23301,25475,23821,24213,24934,34078,38207,44790,24934,20148,21102
5.00,19289,22469,24807,27213,25332,25761,26561,37062,41048,48114,26561,21457,22469
5.50,21711,25294,27696,30277,28947,29556,30569,37618,44721,52418,28470,22665,25294
6.00,24134,28120,30584,33341,32562,33351,34576,38175,48395,56722,30378,23874,28120
6.50,26556,30945,33473,36405,36177,37147,38583,40369,52068,61026,32286,25082,30945
7.00,28978,33770,36362,39468,39792,40942,42590,42564,55741,65330,34194,26291,33770
7.50,31401,36595,39251,42532,43407,44737,46598,44758,59414,69634,36102,27500,36595
8.00,33823,39421,42140,45596,47022,48532,50605,46953,63088,73938,38011,28708,39421
8.50,36246,42246,45029,48660,50637,52328,54612,49147,66761,78242,39919,29917,42246
9.00,38668,45071,47917,51723,54252,56123,58619,51342,70434,82546,41827,31125,45071
9.50,41090,47896,50806,54787,57867,59918,62627,53536,74108,86850,43735,32334,47896
10.00,43513,50721,53695,57851,61482,63713,66634,55731,77781,91154,45643,33542,50721
10.50,44848,52280,55322,59547,63395,65706,69056,58179,80225,94017,47340,34115,52020
11.00,46184,53838,56950,61243,65309,67699,71479,60628,82668,96879,49036,34687,53319
11.50,47520,55397,58577,62939,67222,69692,73901,63077,85112,99741,50732,35260,54617
12.00,48856,56955,60204,64636,69136,71685,76323,65526,87555,102604,52428,35832,55916
12.50,50191,58513,61832,66332,71049,73678,78746,67975,89999,105466,54124,36405,57215
13.00,51527,60072,63459,68028,72963,75671,81168,70424,92443,108328,55821,36977,58513
13.50,52863,61630,65086,69724,74876,77664,83591,72873,94886,111191,57517,37549,59812
14.00,54199,63188,66713,71420,76790,79657,86013,75322,97330,114053,59213,38122,61111
14.50,55534,64747,68341,73117,78703,81650,88435,77770,99773,116915,60909,38694,62409
15.00,56870,66305,69968,74813,80617,83644,90858,80219,102217,119778,62605,39267,63708
15.50,58206,67864,71595,76509,82530,85637,93280,82668,104660,122640,64302,39839,65007
16.00,59542,69422,73223,78205,84444,87630,95702,85117,107104,125502,65998,40412,66305
16.50,60877,70980,74850,79901,86357,89623,98125,87566,109548,128365,67694,40984,67604
17.00,62213,72539,76477,81597,88271,91616,100547,90015,111991,131227,69390,41557,68903
17.50,63549,74097,78104,83294,90184,93609,102970,92464,114435,134089,71086,42129,70201
18.00,64885,75656,79732,84990,92098,95602,105392,94913,116878,136952,72783,42702,71500
18.50,66220,77214,81359,86686,94011,97595,107814,97361,119322,139814,74479,43274,72798
19.00,67556,78772,82986,88382,95925,99588,110237,99810,121765,142676,76175,43847,74097
19.50,68892,80331,84614,90078,97839,101581,112659,102259,124209,145539,77871,44419,75396
20.00,70228,81889,86241,91775,99752,103574,115081,104708,126653,148401,79567,44992,76694
20.50,32599,53245,53245,53245,46942,43465,67805,80845,82366,82366,67805,32599,53245
21.00,33394,54543,54543,54543,48087,44525,69459,82817,84375,84375,69459,33394,54543
21.50,34189,55842,55842,55842,49232,45585,71113,84788,86384,86384,71113,34189,55842
22.00,34984,57141,57141,57141,50377,46645,72767,86760,88393,88393,72767,34984,57141
22.50,35779,58439,58439,58439,51522,47705,74420,88732,90402,90402,74420,35779,58439
23.00,36574,59738,59738,59738,52667,48766,76074,90704,92411,92411,76074,36574,59738
23.50,37369,61036,61036,61036,53812,49826,77728,92676,94420,94420,77728,37369,61036
24.00,38164,62335,62335,62335,54957,50886,79382,94648,96429,96429,79382,38164,62335
24.50,38959,63634,63634,63634,56102,51946,81036,96619,98437,98437,81036,38959,63634
25.00,39755,64932,64932,64932,57247,53006,82689,98591,100446,100446,82689,39755,64932
25.50,40550,66231,66231,66231,58391,54066,84343,100563,102455,102455,84343,40550,66231
26.00,41345,67530,67530,67530,59536,55126,85997,102535,104464,104464,85997,41345,67530
26.50,42140,68828,68828,68828,60681,56186,87651,104507,106473,106473,87651,42140,68828
27.00,42935,70127,70127,70127,61826,57247,89305,106479,108482,108482,89305,42935,70127
27.50,43730,71426,71426,71426,62971,58307,90958,108450,110491,110491,90958,43730,71426
28.00,44525,72724,72724,72724,64116,59367,92612,110422,112500,112500,92612,44525,72724
28.50,45320,74023,74023,74023,65261,60427,94266,112394,114509,114509,94266,45320,74023
29.00,46115,75322,75322,75322,66406,61487,95920,114366,116518,116518,95920,46115,75322
29.50,46910,76620,76620,76620,67551,62547,97574,116338,118527,118527,97574,46910,76620
30.00,47705,77919,77919,77919,68696,63607,99227,118309,120536,120536,99227,47705,77919
30.50,49190,80082,80082,80082,71208,65621,102429,122147,124448,124448,102429,49190,80082
31.00,49296,80188,80188,80188,71314,65727,102535,122253,124554,124554,102535,49296,80188
31.50,50780,82668,82668,82668,73509,67742,105736,126091,128465,128465,105736,50780,82668
32.00,50886,82774,82774,82774,73615,67848,105842,126197,128571,128571,105842,50886,82774
32.50,52370,85255,85255,85255,75809,69862,109044,130034,132483,132483,109044,52370,85255
33.00,52476,85361,85361,85361,75915,69968,109150,130140,132589,132589,109150,52476,85361
33.50,53960,87842,87842,87842,78110,71982,112352,133978,136501,136501,112352,53960,87842
34.00,54066,87948,87948,87948,78216,72088,112458,134084,136607,136607,112458,54066,87948
34.50,55550,90428,90428,90428,80410,74102,115659,137922,140519,140519,115659,55550,90428
35.00,55656,90534,90534,90534,80516,74208,115765,138028,140625,140625,115765,55656,90534
35.50,57141,93015,93015,93015,82711,76223,118967,141865,144537,144537,118967,57141,93015
36.00,57247,93121,93121,93121,82817,76329,119073,141971,144643,144643,119073,57247,93121
36.50,58731,95602,95602,95602,85011,78343,122274,145809,148555,148555,122274,58731,95602
